Win2K8,4043768,2.0 = 4040978 4.5.2 = 4040977 4.6 = 4043764
Win7/Win2K8R2,4043766,3.5.1 = 4040980 4.5.2 = 4040977 4.6/4.6.1/4.6.2/4.7 = 4043764
Win2K12,4043769,3.5 = 4040979 4.5.2 = 4040975 4.6/4.6.1/4.6.2/4.7 = 4043762
Win8.1/Win2K12R2/Win8.1RT,4043767,3.5 = 4040981 4.5.2 = 4040974 4.6/4.6.1/4.6.2/4.7 = 4043763
Win10Update1507(TH1),4043592,na
Win10Update1607(RS1),4041691,na
Win10Update1703(RS2),4041676,na
