OS,Parent KB,Child KBs
Server2K8,4099636,4.6 = 4096418 4.5.2 = 4096495 2.0/3.0 = 4095873
Win7/Server2K8R2,4099633,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096418 4.5.2 = 4096495 3.5.1 = 4095874
Server2K12,4099634,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096416 4.5.2 = 4096494 3.5 = 4095872
Win8.1/Server2K12R2/Win8.1RT,4099635,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4096417 4.5.2 = 4095876 3.5 = 4095875
