OS,Parent KB,Child KBs
Server2K8,4103474,4.6 = 4096234 4.5.2 = 4098976 2.0/3.0 = 4095873
Win7/Server2K8R2,4103472,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.1 = 4096234 4.5.2 = 4098976 3.5.1 = 4095874
Server2K12,4098968,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.1 = 4098971 4.5.2 = 4098975 3.5 = 4095872
Win8.1/Server2K12R2/Win8.1RT,4103473,4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.1 = 4098972 4.5.2 = 4098974 3.5 = 4095875
Win10Update1607(RS1),4103720,4.6.2/4.7/4.7.1 = 4103720
Win10Update1703(RS2),4103722,4.7/4.7.1 = 4103722
Win10Update1709(RS3),4103714,4.7.1 = 4103714
