Win7/Win2K8R2,4055532,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4055002 4.5.2 = 4054995 3.5.1 = 4054998,4055269,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4054183 4.5.2 = 4054172 3.5.1 = 4054176
Win2K12,4055265,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4055000 4.5.2 = 4054994 3.5 = 4054997,4055270,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4054181 4.5.2 = 4054171 3.5 = 4054175
Win8.1/Win2K12R2/Win8.1RT,4055266,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4055001 4.5.2 = 4054993 3.5 = 4054999,4055271,4.6/4.6.1/4.6.2/4.7/4.7.1 = 4054182 4.5.2 = 4054170 3.5 = 4054177
Win2K8,4055267,4.6 = 4055002 4.5.2 = 4054995 2.0/3.0 = 4054996,4055272,4.6 = 4054183 4.5.2 = 4054172 2.0/3.0 = 4054174
Win10Update1507(TH1),4056893,4.6 = 4056893 3.5 = 4056893,,
Win10Update1511(TH2),4056888,4.6.1 = 4056888 3.5 = 4056888,,
Win10Update1607(RS1),4056890,4.6.2/4.7 = 4056890 3.5 = 4056890,,
Win10Update1703(RS2),4056891,4.7 = 4056891 3.5 = 4056891,,
Win10Update1709(RS3) ,4056892,4.7.1 = 4056892 3.5 = 4056892,,
