OS,Parent KB,Child KBs
Win2K8,4049019,2.0 = 4040978 4.5.2 = 4040977 4.6 = 4041778 
Win7/Win2K8R2,4049016,3.5.1 = 4040980 4.5.2 = 4040977 4.6/4.6.1/4.6.2/4.7 = 4041778 
Win2K12,4049018,3.5 = 4040979 4.5.2 = 4040975 4.6/4.6.1/4.6.2/4.7 = 4041776 
Win8.1/Win2K12R2/Win8.1RT,4049017,3.5 = 4040981 4.5.2 = 4040974 4.6/4.6.1/4.6.2/4.7 = 4041777 
Win10Update1703(RS2),4048954,4.7 = 4048954
Win10Update1709(RS3),4048955,4.7.1 = 4048954
